[2025-08-08 16:34:32.536] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":81}
[2025-08-08 16:34:32.554] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":82}
[2025-08-08 16:34:32.554] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":82}
[2025-08-08 16:34:32.568] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":83}
[2025-08-08 16:34:32.569] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":83}
[2025-08-08 16:34:32.584] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":84}
[2025-08-08 16:34:32.584] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":84}
[2025-08-08 16:34:32.593] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":85}
[2025-08-08 16:34:32.593] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":85}
[2025-08-08 16:34:32.602] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":86}
[2025-08-08 16:34:32.603] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":86}
[2025-08-08 16:34:32.620] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":87}
[2025-08-08 16:34:32.620] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":87}
[2025-08-08 16:34:32.628] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":88}
[2025-08-08 16:34:32.628] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":88}
[2025-08-08 16:34:32.648] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":89}
[2025-08-08 16:34:32.648] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":89}
[2025-08-08 16:34:32.656] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":90}
